node,source,function,total_flops,total_int_ops,total_mem_bytes,arithmetic_intensity
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi4ELi4ELi1ELi4ELi4EEENS_7ProductINS4_INS2_IdLi4ELi6ELi0E,132,0,432,0.3055555555555556
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi6ELi4ELi0ELi6ELi4EEENS_7ProductINS4_INS2_IdLi6ELi6ELi0E,132,0,320,0.4125
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal26call_dense_assignment_loopINS_6MatrixIdLi4ELi4ELi0ELi4ELi4EEENS_13CwiseBinaryOpI,128,0,1288,0.09937888198757763
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi6ELi6ELi0ELi6ELi6EEENS_7ProductINS4_INS2_IdLi6ELi4ELi0E,126,0,236,0.5338983050847458
multi_object_tracker,odometry,_ZNK8autoware20multi_object_tracker8Odometry16transformObjectsERKNS0_5types17DynamicObjectListE,121,4,683,0.17715959004392387
shape_estimation,utils,_ZN5Eigen9JacobiSVDINS_6MatrixIdLi3ELi3ELi0ELi3ELi3EEELi2EE7computeERKS2_j.extracted.26,119,8,436,0.27293577981651373
shape_estimation,utils,_ZN5Eigen9JacobiSVDINS_6MatrixIdLi3ELi3ELi0ELi3ELi3EEELi2EE7computeERKS2_j.extracted.26.instrumented,119,54,1172,0.1015358361774744
shape_estimation,utils,_ZN8autoware16shape_estimation15corrector_utils23correctWithDefaultValueERKNS1_22CorrectionBBParamet,109,16,700,0.15571428571428572
multi_object_tracker,bicycle_motion_model,_ZNK5Eigen9DenseBaseINS_13CwiseBinaryOpINS_8internal13scalar_cmp_opIddLNS2_14ComparisonNameE0EEEKNS_,108,0,1184,0.09121621621621621
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal26call_dense_assignment_loopINS_6MatrixIdLi5ELi4ELi0ELi5ELi4EEENS_7ProductINS4_INS,108,0,384,0.28125
multi_object_tracker,ctrv_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi5ELi2ELi0EdE6updateILi3EEEbRKN5Eigen6Matr,105,0,692,0.15173410404624277
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal26call_dense_assignment_loopINS_6MatrixIdLi5ELi5ELi0ELi5ELi5EEENS_7ProductINS2_IdL,105,1,736,0.14266304347826086
autonomous_emergency_braking,node,_ZN5boost8geometry6detail7overlay5touchINS2_9turn_infoIN23autoware_utils_geometry7Point2dENS0_13segm,104,41,717,0.14504881450488144
multi_object_tracker,shapes,_ZN5boost8geometry6detail7overlay5touchINS2_19traversal_turn_infoIN23autoware_utils_geometry7Point2d,104,41,717,0.14504881450488144
multi_object_tracker,shapes,_ZN5boost8geometry6detail7overlay5touchINS2_9turn_infoIN23autoware_utils_geometry7Point2dENS0_13segm,104,41,717,0.14504881450488144
multi_object_tracker,shapes,_ZNK5boost8geometry6detail7overlay12sort_by_side12less_by_sideIN23autoware_utils_geometry7Point2dENS,100,3,320,0.3125
multi_object_tracker,shapes,_ZNK5boost8geometry6detail7overlay12sort_by_side12less_by_sideIN23autoware_utils_geometry7Point2dENS,100,2,632,0.15822784810126583
multi_object_tracker,shapes,_ZNK5boost8geometry6detail7overlay12sort_by_side12less_by_sideIN23autoware_utils_geometry7Point2dENS,100,3,320,0.3125
multi_object_tracker,shapes,_ZNK5boost8geometry6detail7overlay12sort_by_side12less_by_sideIN23autoware_utils_geometry7Point2dENS,100,2,632,0.15822784810126583
map_based_prediction,predictor_vru,_ZN5boost8geometry6detail15closest_feature20point_to_point_rangeIN5Eigen6MatrixIdLi2ELi1ELi2ELi2ELi1,99,0,224,0.4419642857142857
map_based_prediction,utils,_ZN5boost8geometry6detail15closest_feature20point_to_point_rangeIN5Eigen6MatrixIdLi2ELi1ELi2ELi2ELi1,99,0,224,0.4419642857142857
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE16relate_collinearINS0_8policies6rel,96,11,300,0.32
map_based_prediction,predictor_vru,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE16relate_collinearINS0_8policies6rel,96,11,300,0.32
autonomous_emergency_braking,node,_ZSt22__move_median_to_firstIN9__gnu_cxx17__normal_iteratorIPN23autoware_utils_geometry7Point2dESt6v,95,15,112,0.8482142857142857
multi_object_tracker,shapes,_ZSt22__move_median_to_firstIN9__gnu_cxx17__normal_iteratorIPN23autoware_utils_geometry7Point2dESt6v,95,15,112,0.8482142857142857
velocity_smoother,analytical_jerk_constrained_smoother,_ZNK8autoware17velocity_smoother33AnalyticalJerkConstrainedSmoother18resampleTrajectoryERKSt6vectorI,94,20,757,0.12417437252311757
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,90,0,840,0.10714285714285714
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,90,0,1080,0.08333333333333333
ndt_scan_matcher,multi_voxel_grid_covariance_omp,_ZNK6pclomp24MultiVoxelGridCovarianceIN3pcl8PointXYZEE17computeLeafParamsERKN5Eigen6MatrixIdLi3ELi1E,88,1,374,0.23529411764705882
ndt_scan_matcher,multi_voxel_grid_covariance_omp,_ZNK6pclomp24MultiVoxelGridCovarianceIN3pcl9PointXYZIEE17computeLeafParamsERKN5Eigen6MatrixIdLi3ELi1,88,1,374,0.23529411764705882
ndt_scan_matcher,ndt_scan_matcher_core,_ZN8autoware16ndt_scan_matcher14NDTScanMatcher27callback_sensor_points_mainESt10shared_ptrIKN11senso,87,155,6808,0.012779083431257344
ndt_scan_matcher,multi_voxel_grid_covariance_omp,_ZN5Eigen8internal27computeFromTridiagonal_implINS_6MatrixIdLi3ELi3ELi0ELi3ELi3EEENS2_IdLi3ELi1ELi0E,86,14,420,0.20476190476190476
ekf_localizer,mahalanobis,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,9,32,2.625
ekf_localizer,mahalanobis,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,24,272,0.3088235294117647
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,84,0,912,0.09210526315789473
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,9,32,2.625
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,24,272,0.3088235294117647
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,9,32,2.625
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,24,272,0.3088235294117647
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,9,32,2.625
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal22lhs_process_one_packetILi4ELl2ELl1EdddDv2_dS2_S2_S2_NS0_11gebp_traitsIddLb0ELb0E,84,24,272,0.3088235294117647
